,student_id,problem_id,condition,skill_name,correct
0,Stu_002769db730fa4d61ed6f962b38eab6f,1,ErrEx,1,1
1,Stu_002769db730fa4d61ed6f962b38eab6f,2,ErrEx,1,1
2,Stu_002769db730fa4d61ed6f962b38eab6f,3,ErrEx,1,1
3,Stu_002769db730fa4d61ed6f962b38eab6f,4,ErrEx,1,1
4,Stu_002769db730fa4d61ed6f962b38eab6f,6,ErrEx,1,1
5,Stu_002769db730fa4d61ed6f962b38eab6f,7,ErrEx,1,1
6,Stu_002769db730fa4d61ed6f962b38eab6f,8,ErrEx,1,1
7,Stu_002769db730fa4d61ed6f962b38eab6f,9,ErrEx,1,0
8,Stu_002769db730fa4d61ed6f962b38eab6f,10,ErrEx,1,0
9,Stu_002769db730fa4d61ed6f962b38eab6f,12,ErrEx,1,1
10,Stu_002769db730fa4d61ed6f962b38eab6f,16,ErrEx,2,1
11,Stu_002769db730fa4d61ed6f962b38eab6f,17,ErrEx,2,0
12,Stu_002769db730fa4d61ed6f962b38eab6f,18,ErrEx,2,1
13,Stu_002769db730fa4d61ed6f962b38eab6f,19,ErrEx,2,1
14,Stu_002769db730fa4d61ed6f962b38eab6f,20,ErrEx,2,1
15,Stu_002769db730fa4d61ed6f962b38eab6f,21,ErrEx,2,0
16,Stu_002769db730fa4d61ed6f962b38eab6f,22,ErrEx,2,0
17,Stu_002769db730fa4d61ed6f962b38eab6f,23,ErrEx,2,1
18,Stu_002769db730fa4d61ed6f962b38eab6f,24,ErrEx,2,1
19,Stu_002769db730fa4d61ed6f962b38eab6f,25,ErrEx,2,1
20,Stu_002769db730fa4d61ed6f962b38eab6f,27,ErrEx,2,1
21,Stu_002769db730fa4d61ed6f962b38eab6f,31,ErrEx,3,0
22,Stu_002769db730fa4d61ed6f962b38eab6f,32,ErrEx,3,0
23,Stu_002769db730fa4d61ed6f962b38eab6f,33,ErrEx,3,1
24,Stu_002769db730fa4d61ed6f962b38eab6f,34,ErrEx,3,1
25,Stu_002769db730fa4d61ed6f962b38eab6f,35,ErrEx,3,0
26,Stu_002769db730fa4d61ed6f962b38eab6f,36,ErrEx,3,1
27,Stu_002769db730fa4d61ed6f962b38eab6f,37,ErrEx,3,0
28,Stu_002769db730fa4d61ed6f962b38eab6f,38,ErrEx,3,1
29,Stu_002769db730fa4d61ed6f962b38eab6f,39,ErrEx,3,1
30,Stu_002769db730fa4d61ed6f962b38eab6f,42,ErrEx,3,1
31,Stu_002769db730fa4d61ed6f962b38eab6f,46,ErrEx,2,0
32,Stu_002769db730fa4d61ed6f962b38eab6f,47,ErrEx,2,1
33,Stu_002769db730fa4d61ed6f962b38eab6f,48,ErrEx,2,1
34,Stu_002769db730fa4d61ed6f962b38eab6f,49,ErrEx,2,0
35,Stu_002769db730fa4d61ed6f962b38eab6f,51,ErrEx,2,1
36,Stu_002769db730fa4d61ed6f962b38eab6f,52,ErrEx,2,1
37,Stu_002769db730fa4d61ed6f962b38eab6f,53,ErrEx,2,1
38,Stu_002769db730fa4d61ed6f962b38eab6f,54,ErrEx,2,0
39,Stu_002769db730fa4d61ed6f962b38eab6f,57,ErrEx,2,1
40,Stu_002769db730fa4d61ed6f962b38eab6f,61,ErrEx,2,1
41,Stu_002769db730fa4d61ed6f962b38eab6f,62,ErrEx,2,1
42,Stu_002769db730fa4d61ed6f962b38eab6f,63,ErrEx,2,1
43,Stu_002769db730fa4d61ed6f962b38eab6f,64,ErrEx,2,0
44,Stu_002769db730fa4d61ed6f962b38eab6f,65,ErrEx,2,0
45,Stu_002769db730fa4d61ed6f962b38eab6f,66,ErrEx,2,0
46,Stu_002769db730fa4d61ed6f962b38eab6f,67,ErrEx,2,1
47,Stu_002769db730fa4d61ed6f962b38eab6f,68,ErrEx,2,1
48,Stu_002769db730fa4d61ed6f962b38eab6f,69,ErrEx,2,1
49,Stu_002769db730fa4d61ed6f962b38eab6f,70,ErrEx,2,1
50,Stu_002769db730fa4d61ed6f962b38eab6f,72,ErrEx,2,0
51,Stu_002769db730fa4d61ed6f962b38eab6f,76,ErrEx,1,0
