student_id,problem_id,condition,skill_name,correct
1,1,ErrEx,1,1
1,2,ErrEx,1,1
1,3,ErrEx,1,1
1,4,ErrEx,1,1
1,6,ErrEx,1,1
1,7,ErrEx,1,1
1,8,ErrEx,1,1
1,9,ErrEx,1,0
1,10,ErrEx,1,0
1,12,ErrEx,1,1
1,16,ErrEx,2,1
1,17,ErrEx,2,0
1,18,ErrEx,2,1
1,19,ErrEx,2,1
1,20,ErrEx,2,1
1,21,ErrEx,2,0
1,22,ErrEx,2,0
1,23,ErrEx,2,1
1,24,ErrEx,2,1
1,25,ErrEx,2,1
1,27,ErrEx,2,1
1,31,ErrEx,3,0
1,32,ErrEx,3,0
1,33,ErrEx,3,1
1,34,ErrEx,3,1
1,35,ErrEx,3,0
1,36,ErrEx,3,1
1,37,ErrEx,3,0
1,38,ErrEx,3,1
1,39,ErrEx,3,1
1,42,ErrEx,3,1
1,46,ErrEx,2,0
1,47,ErrEx,2,1
1,48,ErrEx,2,1
1,49,ErrEx,2,0
1,51,ErrEx,2,1
1,52,ErrEx,2,1
1,53,ErrEx,2,1
1,54,ErrEx,2,0
1,57,ErrEx,2,1
1,61,ErrEx,2,1
1,62,ErrEx,2,1
1,63,ErrEx,2,1
1,64,ErrEx,2,0
1,65,ErrEx,2,0
1,66,ErrEx,2,0
1,67,ErrEx,2,1
1,68,ErrEx,2,1
1,69,ErrEx,2,1
1,70,ErrEx,2,1
1,72,ErrEx,2,0
1,76,ErrEx,1,0
1,77,ErrEx,1,0
1,78,ErrEx,1,1
1,79,ErrEx,1,0
1,80,ErrEx,1,0
1,81,ErrEx,2,1
1,82,ErrEx,2,1
1,83,ErrEx,2,1
1,84,ErrEx,2,1
1,85,ErrEx,2,1
1,87,ErrEx,2,1
1,91,ErrEx,4,0
1,92,ErrEx,4,0
1,93,ErrEx,4,1
1,94,ErrEx,4,1
1,95,ErrEx,4,0
1,96,ErrEx,4,1
1,97,ErrEx,4,0
1,98,ErrEx,4,1
1,99,ErrEx,4,1
1,100,ErrEx,4,1
1,102,ErrEx,4,0
1,106,ErrEx,1,1
1,107,ErrEx,1,1
1,108,ErrEx,1,1
1,109,ErrEx,1,1
1,110,ErrEx,1,0
1,111,ErrEx,1,0
1,112,ErrEx,1,1
1,113,ErrEx,1,1
1,114,ErrEx,1,1
1,115,ErrEx,1,1
1,117,ErrEx,1,1
1,121,ErrEx,1,1
1,122,ErrEx,1,1
1,123,ErrEx,1,1
1,124,ErrEx,1,1
1,126,ErrEx,2,1
1,127,ErrEx,2,1
